nama_schema,nama_tabel,nama_kolom,nama_relasi,schema_tujuan,tabel_tujuan,kolom_tujuan
simgos,aplicares_room_syncs,room_id,aplicares_room_syncs_room_id_foreign,simgos,rooms,id
simgos,apotek_pelayanan_obats,resep_id,apotek_pelayanan_obats_resep_id_foreign,simgos,apotek_reseps,id
simgos,apotek_penyimpanan_obat_items,penyimpanan_obat_id,apotek_penyimpanan_obat_items_penyimpanan_obat_id_foreign,simgos,apotek_penyimpanan_obats,id
simgos,apotek_penyimpanan_obats,pelayanan_id,apotek_penyimpanan_obats_pelayanan_id_foreign,simgos,apotek_pelayanan_obats,id
simgos,apotek_reseps,prescription_id,apotek_reseps_prescription_id_foreign,simgos,prescriptions,id
simgos,apotek_reseps,visit_id,apotek_reseps_visit_id_foreign,simgos,visits,id
simgos,applicants,registration_id,applicants_registration_id_foreign,simgos,registrations,id
simgos,attending_physicians,employee_id,attending_physicians_employee_id_foreign,simgos,employees,id
simgos,attending_physicians,visit_id,attending_physicians_visit_id_foreign,simgos,visits,id
simgos,audio_attachments,patient_id,audio_attachments_patient_id_foreign,simgos,patients,id
simgos,audio_attachments,visit_id,audio_attachments_visit_id_foreign,simgos,visits,id
simgos,baep_anxiety_details,baep_protocol_id,baep_anxiety_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,baep_cognitive_details,baep_protocol_id,baep_cognitive_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,baep_depression_details,baep_protocol_id,baep_depression_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,baep_dysphagia_details,baep_protocol_id,baep_dysphagia_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,baep_insomnia_details,baep_protocol_id,baep_insomnia_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,baep_intervention_protocols,performed_by,baep_intervention_protocols_performed_by_foreign,simgos,employees,id
simgos,baep_intervention_protocols,visit_id,baep_intervention_protocols_visit_id_foreign,simgos,visits,id
simgos,baep_motor_details,baep_protocol_id,baep_motor_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,baep_sensory_details,baep_protocol_id,baep_sensory_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,baep_stimulation_protocol_details,baep_protocol_id,baep_stimulation_protocol_details_baep_protocol_id_foreign,simgos,baep_intervention_protocols,id
simgos,bank_transfers,payment_id,bank_transfers_payment_id_foreign,simgos,payments,id
simgos,bed_queues,bed_id,bed_queues_bed_id_foreign,simgos,beds,id
simgos,bed_queues,patient_id,bed_queues_patient_id_foreign,simgos,patients,id
simgos,beds,room_id,beds_room_id_foreign,simgos,rooms,id
simgos,birth_certificate_letters,doctor_id,birth_certificate_letters_doctor_id_foreign,simgos,doctors,id
simgos,birth_certificate_letters,mother_patient_id,birth_certificate_letters_mother_patient_id_foreign,simgos,patients,id
simgos,birth_certificate_letters,patient_id,birth_certificate_letters_patient_id_foreign,simgos,patients,id
simgos,birth_certificate_letters,visit_id,birth_certificate_letters_visit_id_foreign,simgos,visits,id
simgos,birth_records,attending_doctor_id,birth_records_attending_doctor_id_foreign,simgos,employees,id
simgos,birth_records,mother_patient_id,birth_records_mother_patient_id_foreign,simgos,patients,id
simgos,birth_records,visit_id,birth_records_visit_id_foreign,simgos,visits,id
simgos,blood_request_items,blood_transfusion_id,blood_request_items_blood_transfusion_id_foreign,simgos,blood_transfusions,id
simgos,blood_transfusion_details,transfusion_id,blood_transfusion_details_transfusion_id_foreign,simgos,blood_transfusions,id
simgos,blood_transfusions,administered_by,blood_transfusions_administered_by_foreign,simgos,employees,id
simgos,blood_transfusions,visit_id,blood_transfusions_visit_id_foreign,simgos,visits,id
simgos,bpjs_outpatient_verifications,patient_id,bpjs_outpatient_verifications_patient_id_foreign,simgos,patients,id
simgos,bpjs_outpatient_verifications,registration_id,bpjs_outpatient_verifications_registration_id_foreign,simgos,registrations,id
simgos,cashier_sessions,cashier_id,cashier_sessions_cashier_id_foreign,simgos,cashiers,id
simgos,cashier_transactions,cashier_id,cashier_transactions_cashier_id_foreign,simgos,cashiers,id
simgos,cashier_transactions,invoice_id,cashier_transactions_invoice_id_foreign,simgos,invoices,id
simgos,cashiers,employee_id,cashiers_employee_id_foreign,simgos,employees,id
simgos,chief_complaints,recorded_by,chief_complaints_recorded_by_foreign,simgos,employees,id
simgos,chief_complaints,visit_id,chief_complaints_visit_id_foreign,simgos,visits,id
simgos,claim_completeness,claim_file_id,claim_completeness_claim_file_id_foreign,simgos,claim_files,id
simgos,claim_completeness_comments,claim_completeness_id,ccc_completeness_id_foreign,simgos,claim_completeness,id
simgos,claim_files,guarantor_id,claim_files_guarantor_id_foreign,simgos,guarantors,id
simgos,claim_files,invoice_id,claim_files_invoice_id_foreign,simgos,invoices,id
simgos,claim_files,registration_id,claim_files_registration_id_foreign,simgos,registrations,id
